 time_avg;time_std;success_avg;success_std;time_per_iter_avg;time_per_iter_std;iter_avg;iter_std
6643.67	239.102	1	0	43.6732	0.167962	152.124	5.49442	
6782.09	267.147	1	0	44.6494	0.119182	151.896	5.9561	
6943.65	273.196	1	0	45.5985	0.149076	152.278	5.97367	
7109.61	246.982	1	0	46.7383	0.103918	152.115	5.26837	
7271.6	277.413	1	0	47.7974	0.0993983	152.135	5.8281	
7421.17	268.854	1	0	48.8132	0.145041	152.033	5.52068	
7598.97	261.608	1	0	49.8912	0.115118	152.311	5.23472	
7730.57	305.133	1	0	50.8424	0.189881	152.051	6.01983	
7889.55	290.781	1	0	51.8661	0.108095	152.114	5.60455	
8548.28	494.077	1	0	56.1011	0.707734	152.372	8.5448	
